idPerson;Prenom;Nom;Rue;Num rue;Ville;NPA;Email;Phone NB;NB AVS;Profession;
;Duran;Pierre;Avenue de Dal;75;Lausanne;1004;DuranDeDal@yahoo.fr;794528267;277385647;Cinéaste;
;Dupond;Jean-Porte;Chemin de Rasberzz;69;Fribourg;1065;JeanPorte@hotmail.com;784358932;;Youtubeur;
;Bala;Tik;Avenue des Raftars;6;Guavian;58443;TellThatToTheKanjiClub@hotmail.ch;792036725;527553850;;
;Petrovgusnik;Bogdan;Panzerstrasse;42;New Moscow;6249;Is3llw34p0n@gmail.com;799999999;974969243;;
;Jean;Kevin;Rue de la Rigolade;42;Lausanne;1004;xxXdarkKikoololXxx@gmail.com;774155330;3258601003;Youtubeur;
;Grandjean;Alicia;Rue de la république;7;Takodana;2199;TR8R@yahoo.com;785436589;199598794;Soldat;
;Andi;Caper;Bremgartenstrasse;117;Bern;3012;Cpamafot@hotmail.ch;787565725;;Infirmer;
;Huguenin;Yoann;Avenue de la rue du chemin;7;Fribourg;1065;Katsuya@russie.ru;794528267;166666722;;
;Mosca;Alexandre;Avenue de la rue du chemin;7;Fribourg;1065;Katsuya@russie.ru;794528267;125483484;Chauffeur;
;Panchaud;Gaël;Panzerstrasse;42;New Moscow;6249;Is3llw34p0n@gmail.com;783452376;304377481;Barman;
;Dolly;Buster;Chemin de Rasberzz;69;Bruxel;4563;TuConnais@yahoo.fr;784665879;;;
;Grand;Pascal;Chemin des frères;1;Transpolice;8594;PascalBG@educanet2.ch;787565725;750216286;Psychologue;
;Yuuji;Kasami;Carrefour de Carrfour;32;Neuchatel;3243;ForTheHelix@hotmail.como;786950499;164566722;Assasin;
;Tasu;Leech;Chemin du Kanjiklub;98;Guavian;58443;CargoCorelien@gmail.jesaispasquoi;774155330;;Contrebandier;
;Huguenin;Yoann;Avenue de la rue du chemin;7;Fribourg;1065;Katsuya@russie.ru;794528267;148705194;Cartographe;
;Kit;Fisto;Avenue de Geonosis;8;Fribourg;1065;Thetrajedyofdarthplagueisthewise@hotmail.com;793943466;325401003;;
